id,age,area,floor,max_floor,y,room_num,L,D,K,S,north
46,125,41.31,7,9,145000,1,1,1,1,0,0
47,6,29.43,2,5,96500,1,0,0,1,0,0
48,169,43.69,11,13,237000,1,1,1,1,0,1
49,377,17.04,1,2,45000,1,0,0,0,0,0
50,501,25.05,4,8,70000,1,0,0,1,0,1
51,413,18.63,2,2,52000,1,0,0,1,0,0
52,125,50.51,1,3,151000,2,1,1,1,0,0
53,64,26.0,7,10,86500,1,0,0,1,0,0
54,365,93.15,2,3,238000,3,1,1,1,0,0
55,617,35.77,6,6,135000,1,0,1,1,0,0
56,644,32.46,1,4,95000,1,0,0,1,0,0
57,0,27.13,11,14,141000,1,0,0,1,0,0
58,48,26.04,13,15,127000,1,0,0,1,0,0
59,293,53.69,9,12,173000,2,1,1,1,0,0
60,49,25.52,3,6,89500,1,0,0,1,0,0
61,209,35.49,3,3,119000,1,0,0,1,0,0
62,178,25.43,4,5,101000,1,0,0,1,0,0
63,103,23.68,4,11,95000,1,0,0,1,0,0
64,352,26.0,3,3,63000,1,0,1,1,0,0
65,374,35.68,4,5,84000,1,0,1,1,0,1
66,329,30.85,10,11,105000,1,0,1,1,0,1
67,297,40.0,3,4,125000,2,0,1,1,0,0
68,11,25.21,3,4,90000,1,0,0,1,0,0
69,0,42.42,5,10,217000,1,1,1,1,0,1
70,9,10.12,2,2,68000,1,0,0,0,0,0
71,0,34.72,2,3,111000,1,1,1,1,0,0
72,310,16.64,1,2,47000,1,0,0,1,0,0
73,365,22.07,2,5,58000,1,0,0,1,0,1
74,375,45.45,1,3,85000,1,1,1,1,0,1
75,745,9.08,2,2,31000,1,0,0,0,0,0
76,304,66.61,2,4,116000,3,1,1,1,0,0
77,361,44.49,2,3,122000,2,0,1,1,0,0
78,2,16.28,3,4,72000,1,0,0,0,0,1
79,0,25.83,1,4,102000,1,0,0,1,0,0
80,174,34.0,4,5,120000,1,0,1,1,0,0
81,393,22.8,2,3,62000,1,0,0,1,0,0
82,475,30.0,3,4,63000,2,0,0,1,0,0
83,438,14.0,1,2,41000,1,0,0,1,0,0
84,90,60.73,2,2,162000,1,1,1,1,0,0
85,140,29.51,4,8,163000,1,0,0,0,0,1
86,1,25.8,9,12,112000,1,0,0,1,0,0
87,222,30.15,2,5,98000,1,0,0,1,0,0
88,589,4.86,1,3,48000,1,0,0,0,0,0
89,424,20.0,2,3,60000,1,0,0,1,0,0
90,189,24.29,7,11,88000,1,0,0,1,0,0
91,277,27.0,3,4,80000,1,0,0,0,0,0
92,415,19.12,3,3,73000,1,0,0,1,0,0
93,354,36.0,2,6,120000,2,0,0,1,0,0
94,42,26.86,2,2,80000,1,0,0,1,0,0
95,23,16.06,2,3,74000,1,0,0,1,0,0
96,193,14.07,1,2,49000,1,0,0,0,0,0
97,63,40.55,5,8,118000,1,1,1,1,0,0
98,214,28.11,10,11,124000,1,0,0,1,0,0
99,392,59.33,6,15,127000,3,1,1,1,0,0
100,65,68.83,3,3,150500,2,1,1,1,0,0
101,627,14.1,2,2,50000,1,0,0,0,0,0
102,312,53.48,5,7,88000,3,0,1,1,0,0
103,0,41.33,1,4,182000,1,1,1,1,0,0
104,3,25.44,8,11,95000,1,0,0,1,0,1
105,166,31.68,2,3,78000,1,0,0,1,0,0
106,332,35.0,1,2,103000,2,0,0,1,0,0
107,2,25.65,2,5,105000,1,0,0,1,0,0
108,167,44.76,4,14,183000,1,1,1,1,0,0
109,356,30.0,2,4,87000,1,0,0,0,0,0
110,632,23.05,2,2,75000,1,0,1,1,0,0
111,79,42.37,2,2,125000,1,1,1,1,0,0
112,0,33.88,1,2,108000,1,0,0,1,0,0
113,239,24.84,1,3,81000,1,0,0,1,0,0
114,549,33.0,3,5,83000,2,0,1,1,0,0
115,360,45.0,3,5,150000,1,1,1,1,0,0
116,30,20.96,2,2,75000,1,0,0,0,0,0
117,457,11.6,4,4,44700,1,0,0,0,0,0
118,341,40.56,2,2,83000,2,0,1,1,0,0
119,67,35.26,5,9,124000,1,0,0,1,0,0
120,0,18.88,3,4,90000,1,0,0,0,0,0
121,187,41.93,8,19,180000,1,1,1,1,0,0
122,18,27.75,5,10,104000,1,0,0,1,0,0
123,365,18.98,8,8,58000,1,0,0,0,0,0
124,124,29.5,4,4,91000,1,0,0,1,0,0
125,45,34.32,12,19,171000,1,0,1,1,0,0
126,3,17.82,1,3,77000,1,0,0,1,0,0
127,35,46.44,5,15,228000,2,0,1,1,0,0
128,408,22.26,3,3,58000,1,0,0,0,0,0
129,35,34.0,3,4,79000,1,0,1,1,0,0
130,394,60.6,2,5,118000,2,0,1,1,0,0
131,593,25.31,4,4,78000,1,0,1,1,0,0
132,165,20.52,3,15,86500,1,0,0,1,0,0
133,437,19.8,4,4,61000,1,0,0,1,0,0
134,17,40.75,3,9,155000,1,1,1,1,0,0
135,1,25.79,1,5,104000,1,0,0,1,0,0
136,29,45.78,3,5,185000,1,1,1,1,0,0
137,15,25.52,2,5,92000,1,0,0,1,0,0
138,329,55.82,3,3,106000,3,0,1,1,0,0
139,244,33.12,2,2,83000,1,0,0,1,0,0
140,73,25.0,5,7,115000,1,0,0,1,0,0
141,5,50.23,7,13,280000,1,1,1,1,0,0
142,146,27.76,4,10,143000,1,0,0,0,0,0
143,164,19.0,3,4,67000,1,0,0,0,0,0
144,123,54.62,9,22,190000,1,1,1,1,1,0
145,6,26.36,9,18,111000,1,0,0,1,0,1
146,26,14.55,2,2,62500,1,0,0,1,0,0
147,338,43.71,2,8,83000,2,0,1,1,0,0
148,4,39.97,12,14,185000,1,1,1,1,0,1
149,644,15.7,1,3,35500,1,0,0,0,0,0
150,9,25.52,12,12,87000,1,0,0,1,0,0
151,0,26.44,12,13,126000,1,0,0,1,0,0
152,431,15.0,3,3,52000,1,0,0,0,0,0
153,216,29.06,2,4,76200,1,0,0,1,0,0
154,180,90.24,2,7,255000,3,1,1,1,0,0
155,3,25.55,1,8,129000,1,0,0,1,0,1
156,63,20.83,3,5,85000,1,0,0,1,0,0
157,10,25.04,3,7,133000,1,0,0,1,0,0
158,173,48.78,2,14,148000,1,0,0,1,0,0
159,427,45.0,1,3,115000,1,0,1,1,0,0
160,0,17.09,1,4,76000,1,0,0,0,0,1
161,187,61.43,7,13,175000,2,1,1,1,0,0
162,4,40.49,6,12,141000,1,1,1,1,0,0
163,341,31.94,3,6,89000,1,0,0,1,0,0
164,66,27.0,2,3,82000,1,0,0,1,0,0
165,143,20.58,5,12,85000,1,0,0,1,0,0
166,346,17.9,1,4,65000,1,0,0,0,0,0
167,116,17.88,1,5,77000,1,0,0,0,0,0
168,86,77.21,3,3,210000,1,1,1,1,1,0
169,3,25.19,1,4,116000,1,0,0,1,0,0
170,245,30.26,2,3,131000,1,0,1,1,0,0
171,191,105.27,2,2,248000,2,1,1,1,0,0
172,300,75.96,3,13,415000,2,1,1,1,0,1
173,533,32.5,2,2,95000,2,0,0,1,0,0
174,0,27.52,2,2,116000,1,0,0,1,1,0
175,5,40.94,9,10,204000,1,1,1,1,0,0
176,0,28.44,1,3,103000,1,1,1,1,0,0
177,340,18.2,2,2,49000,1,0,0,1,0,0
178,377,44.5,4,6,85000,2,0,1,1,0,0
179,462,18.6,2,4,62000,1,0,0,0,0,1
180,305,16.29,3,6,72000,1,0,0,0,0,0
181,26,25.37,4,13,97000,1,0,0,1,0,1
182,162,40.2,2,3,94000,1,1,1,1,0,0
183,0,19.36,2,3,79000,1,0,0,0,0,1
184,346,73.75,5,7,137000,3,1,1,1,0,0
185,357,43.0,1,4,81000,2,0,1,1,0,0
186,503,36.0,2,2,94000,1,1,1,1,0,0
187,3,34.55,9,13,159000,1,1,1,1,0,0
188,281,42.87,2,3,79000,2,0,1,1,0,0
189,403,42.34,4,4,280000,1,1,1,1,0,1
190,30,21.64,3,15,111000,1,0,0,1,0,1
191,144,29.31,3,3,72500,1,0,0,1,0,0
192,185,19.3,4,6,79000,1,0,0,1,0,0
193,133,23.41,2,4,84000,1,0,0,1,0,1
194,197,33.65,2,5,91000,1,1,1,1,0,0
195,3,53.46,12,13,219000,2,1,1,1,0,0
196,158,33.39,2,2,90000,1,1,1,1,0,1
197,439,18.0,3,3,59000,1,0,0,1,0,0
198,381,15.5,2,2,57000,1,0,0,1,0,0
199,509,38.69,2,3,109000,1,1,1,1,0,0
200,228,20.6,2,2,75000,1,0,0,1,0,0
201,31,23.47,2,3,79300,1,0,0,1,0,0
202,387,23.0,3,4,75000,1,0,1,1,0,0
203,595,38.84,2,5,93000,2,0,1,1,0,0
204,356,35.0,3,3,75000,2,0,1,1,0,0
205,250,37.87,2,12,142000,1,1,1,1,0,0
206,377,18.2,2,2,51000,1,0,0,1,0,0
207,43,25.51,5,7,107500,1,0,0,1,0,1
208,189,27.6,1,3,95000,1,0,0,1,0,0
209,609,40.0,3,3,70000,2,1,1,1,0,0
210,27,29.55,2,3,102300,1,0,1,1,0,0
211,53,27.81,2,3,83000,1,0,0,1,0,0
212,0,50.34,10,11,185000,2,1,1,1,0,0
213,184,20.28,2,3,62000,1,0,0,1,0,0
214,355,15.18,2,2,69000,1,0,0,1,0,0
215,153,31.68,3,7,97000,1,0,0,1,0,1
216,28,25.09,2,11,118000,1,0,0,1,0,1
217,151,25.65,3,14,94000,1,0,0,1,0,0
218,80,20.47,3,3,79000,1,0,0,0,0,0
219,493,15.0,2,2,53000,1,0,0,0,0,0
220,124,19.87,1,2,67500,1,0,0,1,0,0
221,379,54.9,1,3,135000,2,1,1,1,0,0
222,370,16.56,7,11,65000,1,0,0,0,0,1
223,187,21.1,9,13,126500,1,0,0,1,0,0
224,0,25.56,3,9,105000,1,0,0,1,0,0
225,168,22.75,6,15,96500,1,0,0,1,0,0
226,197,15.1,2,2,63000,1,0,0,1,0,0
227,535,18.0,1,2,27000,1,0,0,1,0,0
228,55,29.44,6,14,97000,1,0,0,1,0,0
229,185,22.04,4,12,107000,1,0,0,1,0,1
230,335,56.68,3,8,100000,3,0,1,1,0,0
231,35,20.48,5,5,78500,1,0,0,1,0,1
232,259,21.0,1,3,71000,1,0,0,1,0,0
233,0,59.21,3,3,137000,1,1,1,1,0,0
234,23,25.37,14,15,141000,1,0,0,1,0,1
235,342,20.0,1,4,54000,1,0,0,1,0,0
236,1,25.53,5,8,127000,1,0,0,1,0,1
237,114,19.87,2,3,76000,1,0,0,1,0,0
238,4,39.96,6,14,185000,1,1,1,1,0,1
239,68,21.37,2,2,59000,1,0,0,1,0,0
240,364,55.55,3,3,75000,3,0,1,1,0,0
241,341,17.83,3,4,55000,1,0,0,0,0,0
242,24,10.89,1,2,61500,1,0,0,0,0,0
243,192,89.83,10,32,340000,3,1,1,1,0,0
244,257,25.5,2,2,70000,1,0,0,1,0,0
245,15,20.16,5,6,80000,1,0,0,1,0,0
246,553,15.12,3,3,41500,1,0,0,0,0,0
247,469,21.1,1,6,78500,1,0,0,0,0,1
248,520,50.0,1,3,104000,2,1,1,1,0,0
249,60,27.28,3,8,85500,1,0,0,1,0,0
250,41,18.47,1,3,68000,1,0,0,1,0,0
251,401,19.88,2,2,55000,1,0,0,1,0,0
252,61,25.54,5,15,124000,1,0,0,1,0,0
253,116,62.07,5,16,223000,2,1,1,1,0,0
254,138,42.94,11,12,193000,1,1,1,1,0,1
255,444,32.38,2,5,88000,2,0,1,1,0,0
256,611,35.7,5,5,120000,1,1,1,1,0,0
257,191,23.12,2,2,75000,1,0,0,1,0,0
258,118,38.24,6,9,133000,1,0,0,1,0,0
259,139,96.34,30,58,468000,2,1,1,1,0,0
260,38,60.39,3,7,154000,2,1,1,1,0,0
261,580,21.36,2,2,45000,1,0,0,1,0,0
262,11,25.45,3,5,102000,1,0,0,1,0,0
263,350,23.0,2,4,68000,1,0,0,1,0,0
264,404,16.64,2,5,52000,1,0,0,1,0,0
265,212,11.25,2,2,49000,1,0,0,1,0,0
266,226,34.77,2,4,115000,1,0,0,0,0,1
267,198,19.87,2,2,72000,1,0,0,1,0,0
268,88,46.24,1,2,124000,2,0,1,1,0,0
269,299,18.2,2,3,68000,1,0,0,0,0,0
270,1,40.52,6,12,198000,1,1,1,1,0,0
271,0,28.6,2,3,100200,1,0,0,1,0,0
272,2,40.56,1,5,141000,1,1,1,1,0,0
273,21,51.37,7,7,260000,2,1,1,1,0,1
274,300,65.57,2,4,102000,3,1,1,1,0,0
275,25,79.91,30,38,650000,3,1,1,1,0,1
276,38,85.84,3,3,270000,4,1,1,1,0,0
277,139,50.59,19,58,204000,1,0,0,0,0,1
278,379,16.02,4,5,63000,1,0,0,0,0,1
279,504,18.0,2,3,56000,1,0,0,1,0,0
280,341,55.0,2,7,116000,3,0,1,1,0,0
281,0,22.98,1,3,101000,1,0,0,1,1,1
282,23,35.69,15,15,183000,1,0,0,0,0,0
283,156,21.87,5,14,105000,1,0,0,1,0,0
284,367,61.6,9,11,125000,3,1,1,1,0,0
285,587,26.0,2,3,70000,1,0,1,1,0,0
286,113,24.96,2,3,67000,1,0,0,1,0,1
287,144,22.38,3,12,92000,1,0,0,1,0,0
288,90,32.23,2,5,110000,1,0,0,1,0,0
289,419,20.05,1,3,80200,1,0,0,0,0,0
290,126,22.02,7,13,87000,1,0,0,1,0,0
291,359,61.37,2,5,210000,2,1,1,1,0,0
292,19,25.65,5,5,136000,1,0,0,1,0,0
293,65,105.26,2,2,230000,3,1,1,1,0,0
294,0,45.68,2,3,101000,1,1,1,1,0,0
295,19,46.4,9,15,199000,2,1,1,1,0,0
296,156,25.11,2,3,83000,1,0,0,1,0,0
297,63,23.77,1,4,96000,1,0,0,0,0,0
298,407,94.42,1,5,310000,2,1,1,1,0,0
299,366,41.31,3,3,120000,1,1,1,1,0,1
300,428,45.89,1,2,71000,3,0,1,1,0,0
301,279,24.38,2,4,65000,1,0,0,1,0,0
302,25,12.0,1,2,55000,1,0,0,0,0,0
303,175,25.24,3,3,89000,1,0,0,1,0,0
304,344,13.0,2,2,56000,1,0,0,1,0,0
305,267,18.0,2,6,57000,1,0,0,0,0,0
306,39,25.03,12,15,133000,1,0,0,1,0,0
307,0,17.7,1,2,82000,1,0,0,1,0,0
308,40,26.14,6,11,93000,1,0,0,1,0,0
309,30,25.2,2,6,122000,1,0,0,1,0,1
310,238,52.0,1,3,105000,3,0,1,1,0,0
311,204,33.86,2,4,110000,1,0,1,1,0,0
312,123,54.62,4,22,186000,1,1,1,1,1,0
313,245,62.22,25,54,263000,2,1,1,1,0,0
314,176,42.2,6,14,182000,1,1,1,1,0,0
315,142,26.64,4,19,117000,1,0,0,1,0,0
316,376,52.44,1,4,94000,2,0,1,1,0,0
317,21,20.75,2,10,109000,1,0,0,1,0,0
318,188,19.93,3,14,124500,1,0,0,1,0,0
319,113,34.14,5,11,125000,1,1,1,1,0,1
320,204,32.22,4,6,89000,1,0,0,1,0,0
321,257,25.56,6,14,95000,1,0,0,1,0,0
322,4,25.59,3,6,97500,1,0,0,1,0,0
323,41,30.61,2,5,128000,1,1,1,1,0,1
324,556,19.44,2,5,52000,1,0,0,1,0,1
325,161,27.92,3,4,84500,1,0,0,1,0,0
326,383,15.1,2,2,41000,1,0,0,1,0,0
327,137,20.44,3,3,91000,1,0,0,1,0,0
328,0,32.69,3,4,174000,1,1,1,1,0,0
329,261,20.0,3,4,70000,1,0,0,1,0,0
330,233,44.87,3,9,155000,1,1,1,1,0,0
331,76,52.4,1,3,97000,2,1,1,1,0,0
332,155,57.12,2,3,98000,2,1,1,1,0,0
333,29,41.23,2,3,92500,1,1,1,1,0,0
334,310,17.0,1,5,53000,1,0,0,0,0,0
335,103,22.6,1,4,88000,1,0,0,1,0,0
336,164,18.87,1,4,62500,1,0,0,1,0,0
337,472,29.7,2,4,75000,1,0,1,1,0,0
338,413,22.19,2,2,55000,1,0,1,1,0,0
339,264,19.97,1,3,66000,1,0,0,1,0,0
340,0,26.1,6,8,109000,1,0,0,1,0,0
341,427,19.0,2,2,65000,1,0,0,1,0,0
342,341,19.87,2,2,52000,1,0,0,1,0,0
343,408,22.26,1,3,56000,1,0,0,0,0,0
344,371,18.55,1,5,46000,1,0,0,0,0,0
345,235,20.3,8,8,105000,1,0,0,1,0,0
346,217,20.0,2,3,69000,1,0,0,1,0,0
347,282,68.6,2,5,157000,3,1,1,1,0,0
348,557,25.0,1,2,71000,1,0,1,1,0,0
349,8,47.2,2,2,98000,1,1,1,1,0,0
350,2,38.89,4,11,145000,1,1,1,1,0,0
351,197,118.38,5,6,402000,3,1,1,1,1,0
352,0,37.53,8,10,202000,1,1,1,1,0,1
353,3,40.0,2,10,206000,1,1,1,1,0,0
354,437,26.7,2,4,55000,1,0,0,1,0,1
355,198,22.0,3,3,67000,1,0,0,1,0,0
356,325,35.9,2,2,67000,1,1,1,1,0,0
357,43,18.5,3,4,73000,1,0,0,1,0,0
358,652,24.0,2,2,57000,2,0,0,1,0,0
359,0,27.34,2,3,88000,1,0,0,1,0,0
360,61,30.77,3,8,106000,1,0,0,1,0,0
361,77,70.57,3,4,252000,3,1,1,1,0,1
362,113,19.87,1,3,80000,1,0,0,1,0,0
363,250,22.77,2,2,76000,1,0,0,0,0,0
364,2,27.51,4,6,147000,1,0,0,0,0,0
365,341,50.59,1,2,113000,2,1,1,1,0,0
366,1,25.81,1,4,105000,1,0,0,1,0,1
367,301,23.18,2,2,71000,1,0,0,1,0,0
368,318,16.0,3,3,52000,1,0,0,1,0,0
369,216,23.77,2,2,59000,1,0,0,1,0,0
370,325,30.56,2,3,106000,1,0,1,1,0,1
371,90,66.3,3,4,292000,1,1,1,1,0,0
372,346,55.11,1,2,116000,3,0,1,1,0,0
373,139,71.29,21,58,308000,1,1,1,1,0,1
374,11,17.59,2,2,84000,1,0,0,0,0,0
375,186,47.25,28,43,187000,1,1,1,1,0,0
376,0,11.39,1,2,58000,1,0,0,0,0,1
377,40,26.14,6,11,93000,1,0,0,1,0,0
378,0,25.43,6,13,107000,2,0,0,1,0,0
379,2,25.64,3,6,138000,1,0,0,0,0,1
380,433,17.39,3,3,64000,1,0,0,0,0,0
381,171,24.4,13,13,111000,1,0,0,1,0,0
382,55,50.85,6,6,162000,2,0,1,1,0,0
383,125,26.14,13,13,105000,1,0,0,0,0,1
384,389,59.14,6,6,160000,3,0,1,1,0,0
385,102,17.97,1,2,74000,1,0,0,1,0,0
386,331,25.46,2,5,76000,1,0,0,1,0,1
387,341,11.13,2,2,57000,1,0,0,0,0,0
388,175,18.78,5,7,77000,1,0,0,1,0,0
389,19,30.13,2,9,122000,1,0,1,1,0,0
390,65,25.83,2,9,120000,1,0,0,1,0,0
391,255,45.76,3,3,127000,2,0,1,1,0,0
392,144,26.1,4,16,133000,1,0,0,1,0,0
393,0,53.55,2,5,148000,2,1,1,1,0,0
394,24,20.0,1,3,79000,1,0,0,1,0,0
395,377,70.9,3,5,200000,3,1,1,1,0,0
396,192,55.38,8,12,168000,2,1,1,1,0,0
397,286,23.89,2,2,65000,1,0,0,1,0,0
398,113,22.55,7,8,85000,1,0,0,1,0,1
399,77,25.35,6,11,112000,1,0,0,1,0,0
400,77,27.02,11,11,122000,1,0,0,0,0,0
401,182,33.92,2,3,68000,1,0,0,1,0,0
402,581,40.0,2,3,62000,2,0,0,1,0,0
403,404,22.0,2,3,73000,1,0,1,1,0,0
404,509,15.0,2,2,48000,1,0,0,1,0,0
405,270,47.93,2,2,83000,2,0,1,1,0,0
406,1,25.47,7,9,104500,1,0,0,1,0,0
407,389,16.1,2,5,55000,1,0,0,0,0,0
408,343,40.5,3,3,73000,2,0,1,1,0,0
409,359,34.02,2,3,67000,2,0,0,1,0,0
410,532,16.52,2,2,58000,1,0,0,0,0,0
411,121,109.32,2,2,295000,1,1,1,1,1,0
412,348,161.78,8,8,320000,5,1,1,1,1,0
413,200,25.84,5,14,82000,1,0,0,1,0,0
414,0,25.16,2,9,80000,1,0,0,1,0,0
415,25,30.45,3,5,107000,1,1,1,1,0,0
416,293,16.6,2,10,90000,1,0,0,0,0,1
417,51,20.48,5,10,94000,1,0,0,0,0,0
418,8,23.18,3,3,86000,1,0,0,1,0,0
419,356,17.02,4,4,57000,1,0,0,1,0,0
420,38,102.46,2,2,270000,4,1,1,1,0,0
421,89,30.0,1,3,80000,1,0,0,1,0,0
422,169,24.48,7,11,113000,1,0,0,1,0,0
423,72,50.52,2,3,99300,2,0,1,1,0,0
424,413,39.0,3,5,86500,1,1,1,1,0,0
425,151,29.09,11,14,132000,1,0,0,1,0,0
426,372,16.24,2,4,60000,1,0,0,0,0,0
427,420,22.33,1,4,63000,1,0,0,0,0,0
428,370,77.35,3,3,193000,2,1,1,1,0,0
429,0,21.28,4,7,93000,1,0,0,1,0,1
430,213,22.35,2,3,72500,1,0,0,1,0,0
431,209,59.42,3,3,265000,2,1,1,1,0,0
432,402,13.12,5,7,54000,1,0,0,1,0,0
433,60,44.57,7,7,157000,1,1,1,1,0,0
434,0,41.72,1,3,115000,1,1,1,1,0,0
435,27,26.5,3,5,108000,1,0,0,1,0,0
436,59,26.04,5,9,97000,1,0,0,1,0,0
437,0,39.8,9,14,196000,1,1,1,1,0,0
438,196,28.47,1,3,75000,1,0,0,1,0,0
439,125,25.15,2,3,105000,1,0,0,1,0,0
440,209,39.45,4,10,175000,1,0,0,1,0,0
441,104,21.96,9,14,95000,1,0,0,1,0,0
442,95,44.62,2,2,91000,1,1,1,1,0,0
443,369,39.74,2,2,69000,2,0,1,1,0,0
444,403,24.3,3,3,83000,1,0,0,1,0,0
445,352,52.97,2,6,85000,1,1,1,1,0,0
446,347,40.4,1,2,76000,2,0,1,1,0,0
447,152,35.02,7,13,140000,1,1,1,1,0,0
448,525,21.75,1,3,49000,1,0,0,1,0,0
449,113,39.96,7,9,157000,1,0,0,1,0,0
450,181,50.01,2,2,92800,2,0,1,1,0,0
451,3,24.52,1,3,103000,1,0,0,1,0,0
452,204,20.86,12,12,99000,1,0,0,1,0,0
453,94,20.0,3,11,111000,1,0,0,1,0,0
454,111,22.75,1,3,82000,1,0,0,1,0,0
455,18,43.09,3,11,196000,1,1,1,1,0,1
456,21,40.4,9,15,169000,1,1,1,1,0,0
457,389,38.88,1,3,102000,2,0,1,1,0,0
458,369,21.53,4,7,64000,1,0,0,0,0,0
459,562,17.0,2,6,52000,1,0,0,0,0,1
460,413,15.08,3,14,65000,1,0,0,0,0,0
461,6,40.03,15,15,194000,1,1,1,1,0,1
462,417,24.75,2,2,58000,1,0,0,1,0,0
463,38,31.77,1,3,94000,1,0,1,1,0,1
464,72,26.12,8,10,89500,1,0,0,1,0,0
465,0,30.85,1,3,82000,1,0,0,1,1,0
466,484,29.7,3,3,85000,1,0,1,1,0,0
467,327,16.74,4,5,69000,1,0,0,0,0,0
468,117,69.37,1,15,275000,1,1,1,1,0,0
469,221,21.0,6,9,77000,1,0,0,1,0,0
470,24,17.15,3,3,64000,1,0,0,0,0,0
471,119,32.19,2,2,91000,1,0,0,1,0,0
472,141,22.84,3,4,85000,1,0,0,0,0,0
473,2,51.15,2,3,115500,2,1,1,1,0,0
474,68,26.03,5,8,93500,1,0,0,1,0,0
475,192,24.3,1,4,65000,1,0,0,1,0,1
476,470,40.0,3,12,155000,1,1,1,1,0,0
477,2,25.52,5,9,101500,1,0,0,1,0,0
478,119,42.63,1,2,120000,1,1,1,1,0,0
479,29,24.22,3,3,78000,1,0,0,1,0,0
480,194,20.16,8,13,89800,1,0,0,1,0,0
481,23,20.47,2,3,76000,1,0,0,0,0,0
482,189,45.6,3,15,175000,1,1,1,1,0,0
483,203,42.51,5,7,154150,1,1,1,1,0,0
484,0,48.0,2,2,125000,1,1,1,1,0,0
485,328,39.0,1,2,87000,2,0,1,1,0,0
486,3,25.56,4,8,89000,1,0,0,1,0,1
487,349,50.4,4,10,137500,2,1,1,1,0,0
488,88,69.31,1,2,125000,2,1,1,1,0,0
489,19,54.77,2,6,280000,1,1,1,1,0,1
490,219,52.87,7,11,124000,2,1,1,1,0,0
491,5,18.41,2,2,72500,1,0,0,0,0,0
492,290,19.35,3,4,70000,1,0,0,1,0,0
493,35,7.08,1,2,40000,1,0,0,0,0,0
494,268,29.35,3,4,80000,1,0,1,1,0,0
495,3,25.73,1,5,83500,1,0,0,1,0,0
496,6,26.13,1,5,82500,1,0,0,1,0,0
497,339,44.0,2,3,75000,1,1,1,1,0,0
498,520,37.5,4,5,105000,2,0,1,1,0,0
499,316,39.67,2,2,76000,2,0,1,1,0,0
500,353,48.33,1,2,105000,2,0,1,1,0,0
501,333,27.26,5,8,110000,1,0,0,1,0,1
502,443,41.82,1,2,133000,1,1,1,1,0,0
503,0,30.62,1,4,88000,1,0,1,1,0,1
504,511,34.56,4,4,77000,1,1,1,1,0,0
505,1,40.83,3,12,121000,1,1,1,1,0,0
506,0,41.55,1,2,116000,1,1,1,1,0,0
507,6,32.76,1,2,106000,1,0,1,1,0,0
508,396,21.0,1,2,55000,1,0,0,1,0,0
509,149,24.48,9,10,105500,1,0,0,1,0,0
510,0,40.03,2,3,127500,1,1,1,1,0,0
511,30,34.08,3,5,113000,1,0,0,1,0,0
512,89,58.82,11,13,295000,1,1,1,1,1,0
513,234,56.4,5,5,120000,2,1,1,1,0,0
514,74,32.27,5,10,89500,1,0,1,1,0,0
515,345,25.61,1,4,60000,1,0,0,1,0,0
516,3,46.25,6,12,217000,1,1,1,1,0,1
