id,age,area,floor,max_floor,y
133,437,19.8,4,4,61000
134,17,40.75,3,9,155000
135,1,25.79,1,5,104000
136,29,45.78,3,5,185000
137,15,25.52,2,5,92000
138,329,55.82,3,3,106000
139,244,33.12,2,2,83000
140,73,25.0,5,7,115000
141,5,50.23,7,13,280000
142,146,27.76,4,10,143000
143,164,19.0,3,4,67000
144,123,54.62,9,22,190000
145,6,26.36,9,18,111000
146,26,14.55,2,2,62500
147,338,43.71,2,8,83000
148,4,39.97,12,14,185000
149,644,15.7,1,3,35500
150,9,25.52,12,12,87000
151,0,26.44,12,13,126000
152,431,15.0,3,3,52000
153,216,29.06,2,4,76200
154,180,90.24,2,7,255000
155,3,25.55,1,8,129000
156,63,20.83,3,5,85000
157,10,25.04,3,7,133000
158,173,48.78,2,14,148000
159,427,45.0,1,3,115000
160,0,17.09,1,4,76000
161,187,61.43,7,13,175000
162,4,40.49,6,12,141000
163,341,31.94,3,6,89000
164,66,27.0,2,3,82000
165,143,20.58,5,12,85000
166,346,17.9,1,4,65000
167,116,17.88,1,5,77000
168,86,77.21,3,3,210000
169,3,25.19,1,4,116000
170,245,30.26,2,3,131000
171,191,105.27,2,2,248000
172,300,75.96,3,13,415000
173,533,32.5,2,2,95000
174,0,27.52,2,2,116000
175,5,40.94,9,10,204000
176,0,28.44,1,3,103000
177,340,18.2,2,2,49000
178,377,44.5,4,6,85000
179,462,18.6,2,4,62000
180,305,16.29,3,6,72000
181,26,25.37,4,13,97000
182,162,40.2,2,3,94000
183,0,19.36,2,3,79000
184,346,73.75,5,7,137000
185,357,43.0,1,4,81000
186,503,36.0,2,2,94000
187,3,34.55,9,13,159000
188,281,42.87,2,3,79000
189,403,42.34,4,4,280000
190,30,21.64,3,15,111000
191,144,29.31,3,3,72500
192,185,19.3,4,6,79000
193,133,23.41,2,4,84000
194,197,33.65,2,5,91000
195,3,53.46,12,13,219000
196,158,33.39,2,2,90000
197,439,18.0,3,3,59000
198,381,15.5,2,2,57000
199,509,38.69,2,3,109000
200,228,20.6,2,2,75000
201,31,23.47,2,3,79300
202,387,23.0,3,4,75000
203,595,38.84,2,5,93000
204,356,35.0,3,3,75000
205,250,37.87,2,12,142000
206,377,18.2,2,2,51000
207,43,25.51,5,7,107500
208,189,27.6,1,3,95000
209,609,40.0,3,3,70000
210,27,29.55,2,3,102300
211,53,27.81,2,3,83000
212,0,50.34,10,11,185000
213,184,20.28,2,3,62000
214,355,15.18,2,2,69000
215,153,31.68,3,7,97000
216,28,25.09,2,11,118000
217,151,25.65,3,14,94000
218,80,20.47,3,3,79000
219,493,15.0,2,2,53000
220,124,19.87,1,2,67500
221,379,54.9,1,3,135000
222,370,16.56,7,11,65000
223,187,21.1,9,13,126500
224,0,25.56,3,9,105000
225,168,22.75,6,15,96500
226,197,15.1,2,2,63000
227,535,18.0,1,2,27000
228,55,29.44,6,14,97000
229,185,22.04,4,12,107000
230,335,56.68,3,8,100000
231,35,20.48,5,5,78500
232,259,21.0,1,3,71000
233,0,59.21,3,3,137000
234,23,25.37,14,15,141000
235,342,20.0,1,4,54000
236,1,25.53,5,8,127000
237,114,19.87,2,3,76000
238,4,39.96,6,14,185000
239,68,21.37,2,2,59000
240,364,55.55,3,3,75000
241,341,17.83,3,4,55000
242,24,10.89,1,2,61500
243,192,89.83,10,32,340000
244,257,25.5,2,2,70000
245,15,20.16,5,6,80000
246,553,15.12,3,3,41500
247,469,21.1,1,6,78500
248,520,50.0,1,3,104000
249,60,27.28,3,8,85500
250,41,18.47,1,3,68000
251,401,19.88,2,2,55000
252,61,25.54,5,15,124000
253,116,62.07,5,16,223000
254,138,42.94,11,12,193000
255,444,32.38,2,5,88000
256,611,35.7,5,5,120000
257,191,23.12,2,2,75000
258,118,38.24,6,9,133000
259,139,96.34,30,58,468000
260,38,60.39,3,7,154000
261,580,21.36,2,2,45000
262,11,25.45,3,5,102000
263,350,23.0,2,4,68000
264,404,16.64,2,5,52000
265,212,11.25,2,2,49000
266,226,34.77,2,4,115000
267,198,19.87,2,2,72000
268,88,46.24,1,2,124000
269,299,18.2,2,3,68000
270,1,40.52,6,12,198000
271,0,28.6,2,3,100200
272,2,40.56,1,5,141000
273,21,51.37,7,7,260000
274,300,65.57,2,4,102000
275,25,79.91,30,38,650000
276,38,85.84,3,3,270000
277,139,50.59,19,58,204000
278,379,16.02,4,5,63000
279,504,18.0,2,3,56000
280,341,55.0,2,7,116000
281,0,22.98,1,3,101000
282,23,35.69,15,15,183000
283,156,21.87,5,14,105000
284,367,61.6,9,11,125000
285,587,26.0,2,3,70000
286,113,24.96,2,3,67000
287,144,22.38,3,12,92000
288,90,32.23,2,5,110000
289,419,20.05,1,3,80200
290,126,22.02,7,13,87000
291,359,61.37,2,5,210000
292,19,25.65,5,5,136000
293,65,105.26,2,2,230000
294,0,45.68,2,3,101000
295,19,46.4,9,15,199000
296,156,25.11,2,3,83000
297,63,23.77,1,4,96000
298,407,94.42,1,5,310000
299,366,41.31,3,3,120000
300,428,45.89,1,2,71000
301,279,24.38,2,4,65000
302,25,12.0,1,2,55000
303,175,25.24,3,3,89000
304,344,13.0,2,2,56000
305,267,18.0,2,6,57000
306,39,25.03,12,15,133000
307,0,17.7,1,2,82000
308,40,26.14,6,11,93000
309,30,25.2,2,6,122000
310,238,52.0,1,3,105000
311,204,33.86,2,4,110000
312,123,54.62,4,22,186000
313,245,62.22,25,54,263000
314,176,42.2,6,14,182000
315,142,26.64,4,19,117000
316,376,52.44,1,4,94000
317,21,20.75,2,10,109000
318,188,19.93,3,14,124500
319,113,34.14,5,11,125000
320,204,32.22,4,6,89000
321,257,25.56,6,14,95000
322,4,25.59,3,6,97500
323,41,30.61,2,5,128000
324,556,19.44,2,5,52000
325,161,27.92,3,4,84500
326,383,15.1,2,2,41000
327,137,20.44,3,3,91000
328,0,32.69,3,4,174000
329,261,20.0,3,4,70000
330,233,44.87,3,9,155000
331,76,52.4,1,3,97000
332,155,57.12,2,3,98000
333,29,41.23,2,3,92500
334,310,17.0,1,5,53000
335,103,22.6,1,4,88000
336,164,18.87,1,4,62500
337,472,29.7,2,4,75000
338,413,22.19,2,2,55000
339,264,19.97,1,3,66000
340,0,26.1,6,8,109000
341,427,19.0,2,2,65000
342,341,19.87,2,2,52000
343,408,22.26,1,3,56000
344,371,18.55,1,5,46000
345,235,20.3,8,8,105000
346,217,20.0,2,3,69000
347,282,68.6,2,5,157000
348,557,25.0,1,2,71000
349,8,47.2,2,2,98000
350,2,38.89,4,11,145000
351,197,118.38,5,6,402000
352,0,37.53,8,10,202000
353,3,40.0,2,10,206000
354,437,26.7,2,4,55000
355,198,22.0,3,3,67000
356,325,35.9,2,2,67000
357,43,18.5,3,4,73000
358,652,24.0,2,2,57000
359,0,27.34,2,3,88000
360,61,30.77,3,8,106000
361,77,70.57,3,4,252000
362,113,19.87,1,3,80000
363,250,22.77,2,2,76000
364,2,27.51,4,6,147000
365,341,50.59,1,2,113000
366,1,25.81,1,4,105000
367,301,23.18,2,2,71000
368,318,16.0,3,3,52000
369,216,23.77,2,2,59000
370,325,30.56,2,3,106000
371,90,66.3,3,4,292000
372,346,55.11,1,2,116000
373,139,71.29,21,58,308000
374,11,17.59,2,2,84000
375,186,47.25,28,43,187000
376,0,11.39,1,2,58000
377,40,26.14,6,11,93000
378,0,25.43,6,13,107000
379,2,25.64,3,6,138000
380,433,17.39,3,3,64000
381,171,24.4,13,13,111000
382,55,50.85,6,6,162000
383,125,26.14,13,13,105000
384,389,59.14,6,6,160000
385,102,17.97,1,2,74000
386,331,25.46,2,5,76000
387,341,11.13,2,2,57000
388,175,18.78,5,7,77000
389,19,30.13,2,9,122000
390,65,25.83,2,9,120000
391,255,45.76,3,3,127000
392,144,26.1,4,16,133000
393,0,53.55,2,5,148000
394,24,20.0,1,3,79000
395,377,70.9,3,5,200000
396,192,55.38,8,12,168000
397,286,23.89,2,2,65000
398,113,22.55,7,8,85000
399,77,25.35,6,11,112000
400,77,27.02,11,11,122000
401,182,33.92,2,3,68000
402,581,40.0,2,3,62000
403,404,22.0,2,3,73000
404,509,15.0,2,2,48000
405,270,47.93,2,2,83000
406,1,25.47,7,9,104500
407,389,16.1,2,5,55000
408,343,40.5,3,3,73000
409,359,34.02,2,3,67000
410,532,16.52,2,2,58000
411,121,109.32,2,2,295000
412,348,161.78,8,8,320000
413,200,25.84,5,14,82000
414,0,25.16,2,9,80000
415,25,30.45,3,5,107000
416,293,16.6,2,10,90000
417,51,20.48,5,10,94000
418,8,23.18,3,3,86000
419,356,17.02,4,4,57000
420,38,102.46,2,2,270000
421,89,30.0,1,3,80000
422,169,24.48,7,11,113000
423,72,50.52,2,3,99300
424,413,39.0,3,5,86500
425,151,29.09,11,14,132000
426,372,16.24,2,4,60000
427,420,22.33,1,4,63000
428,370,77.35,3,3,193000
429,0,21.28,4,7,93000
430,213,22.35,2,3,72500
431,209,59.42,3,3,265000
432,402,13.12,5,7,54000
433,60,44.57,7,7,157000
434,0,41.72,1,3,115000
435,27,26.5,3,5,108000
436,59,26.04,5,9,97000
437,0,39.8,9,14,196000
438,196,28.47,1,3,75000
439,125,25.15,2,3,105000
440,209,39.45,4,10,175000
441,104,21.96,9,14,95000
442,95,44.62,2,2,91000
443,369,39.74,2,2,69000
444,403,24.3,3,3,83000
445,352,52.97,2,6,85000
446,347,40.4,1,2,76000
447,152,35.02,7,13,140000
448,525,21.75,1,3,49000
449,113,39.96,7,9,157000
450,181,50.01,2,2,92800
451,3,24.52,1,3,103000
452,204,20.86,12,12,99000
453,94,20.0,3,11,111000
454,111,22.75,1,3,82000
455,18,43.09,3,11,196000
456,21,40.4,9,15,169000
457,389,38.88,1,3,102000
458,369,21.53,4,7,64000
459,562,17.0,2,6,52000
460,413,15.08,3,14,65000
461,6,40.03,15,15,194000
462,417,24.75,2,2,58000
463,38,31.77,1,3,94000
464,72,26.12,8,10,89500
465,0,30.85,1,3,82000
466,484,29.7,3,3,85000
467,327,16.74,4,5,69000
468,117,69.37,1,15,275000
469,221,21.0,6,9,77000
470,24,17.15,3,3,64000
471,119,32.19,2,2,91000
472,141,22.84,3,4,85000
473,2,51.15,2,3,115500
474,68,26.03,5,8,93500
475,192,24.3,1,4,65000
476,470,40.0,3,12,155000
477,2,25.52,5,9,101500
478,119,42.63,1,2,120000
479,29,24.22,3,3,78000
480,194,20.16,8,13,89800
481,23,20.47,2,3,76000
482,189,45.6,3,15,175000
483,203,42.51,5,7,154150
484,0,48.0,2,2,125000
485,328,39.0,1,2,87000
486,3,25.56,4,8,89000
487,349,50.4,4,10,137500
488,88,69.31,1,2,125000
489,19,54.77,2,6,280000
490,219,52.87,7,11,124000
491,5,18.41,2,2,72500
492,290,19.35,3,4,70000
493,35,7.08,1,2,40000
494,268,29.35,3,4,80000
495,3,25.73,1,5,83500
496,6,26.13,1,5,82500
497,339,44.0,2,3,75000
498,520,37.5,4,5,105000
499,316,39.67,2,2,76000
500,353,48.33,1,2,105000
501,333,27.26,5,8,110000
502,443,41.82,1,2,133000
503,0,30.62,1,4,88000
504,511,34.56,4,4,77000
505,1,40.83,3,12,121000
506,0,41.55,1,2,116000
507,6,32.76,1,2,106000
508,396,21.0,1,2,55000
509,149,24.48,9,10,105500
510,0,40.03,2,3,127500
511,30,34.08,3,5,113000
512,89,58.82,11,13,295000
513,234,56.4,5,5,120000
514,74,32.27,5,10,89500
515,345,25.61,1,4,60000
516,3,46.25,6,12,217000
517,341,17.75,2,4,58000
518,342,46.62,3,4,169000
519,346,31.35,3,7,105000
520,490,22.24,10,12,90000
521,337,20.28,5,6,72000
522,175,24.37,7,10,89000
523,306,19.0,4,4,55000
524,24,55.26,1,3,158000
525,492,40.99,2,3,90000
526,339,23.0,2,2,51000
527,364,39.0,4,5,130000
528,258,26.53,3,8,83500
529,171,23.46,2,4,81000
530,207,39.66,1,2,117000
531,24,19.88,2,3,79000
532,335,29.0,1,2,67000
533,227,22.06,2,3,95000
534,16,13.66,1,3,58000
535,23,11.04,1,2,65500
536,3,25.18,1,7,96000
537,151,20.74,3,5,94000
538,232,21.58,1,3,74000
539,5,25.59,3,5,110000
540,10,66.6,8,14,335000
541,7,41.04,7,13,198000
542,322,42.03,1,2,123000
543,54,25.52,3,13,99000
544,0,20.07,3,4,91000
545,318,24.4,1,2,61000
546,233,51.78,2,3,145500
547,442,26.0,2,3,83000
548,248,55.5,8,12,189000
549,35,18.42,2,4,83000
550,333,37.26,2,2,72000
551,400,16.5,1,4,70000
552,370,17.55,2,4,61000
553,150,31.0,2,8,114000
554,3,25.36,6,10,129000
555,209,76.59,2,13,198000
556,45,25.95,5,5,86500
557,649,20.0,3,5,95000
558,414,15.0,1,2,50000
559,0,38.88,1,4,172000
560,263,24.24,1,2,68000
561,43,23.77,2,2,91000
562,180,54.59,2,3,170000
563,80,41.32,10,11,192000
564,3,40.0,3,10,205000
565,5,42.09,4,6,158000
566,126,64.53,11,11,249000
567,216,41.05,3,8,123000
568,5,41.11,7,11,182000
569,117,30.1,8,11,137000
570,323,40.5,3,3,95000
571,79,26.01,6,15,101000
572,37,31.26,4,9,133000
573,1,45.94,3,3,137000
574,150,47.08,7,14,235000
575,228,25.0,2,4,92000
576,72,67.0,2,4,228000
577,319,21.2,1,2,58000
578,61,90.98,3,3,255000
579,424,25.2,3,5,56000
580,377,32.28,1,3,65000
581,571,23.1,3,4,65000
582,372,40.07,2,2,87000
583,2,26.1,2,12,97000
584,317,60.72,12,12,145000
585,430,85.0,2,3,230000
586,375,44.8,2,5,80000
587,466,55.0,6,8,130000
588,48,26.71,1,6,105000
589,61,43.0,3,3,138000
590,456,24.0,3,3,72000
591,358,19.35,2,4,63000
592,217,20.0,2,3,79000
593,242,60.84,3,6,156000
594,7,25.87,3,13,136000
595,310,55.4,3,7,124000
596,336,30.0,3,4,80000
597,119,56.37,2,2,107500
598,292,37.7,1,3,90000
599,298,68.75,3,3,134500
600,35,20.85,5,9,109000
601,180,31.88,1,2,90000
602,58,93.08,3,3,290000
603,375,18.08,3,5,53000
604,29,21.36,3,6,89000
605,163,17.38,1,2,60500
606,439,9.76,1,2,45000
607,1,25.65,1,5,91000
608,171,21.16,2,4,81000
609,258,25.49,2,2,69000
610,305,40.5,2,2,98000
611,65,40.82,4,5,106000
612,15,40.62,4,4,150000
613,464,17.3,4,11,85000
614,318,45.0,2,5,98000
615,330,30.0,1,2,89500
616,2,53.0,3,9,125500
617,578,30.0,2,4,60000
618,162,32.81,5,7,150000
619,2,25.35,4,5,138000
620,150,20.77,4,9,84000
621,147,22.43,4,5,113000
622,158,32.88,4,13,159000
623,412,30.0,1,2,84000
624,90,30.19,1,9,173000
625,149,23.26,9,13,104000
626,25,15.69,1,2,75000
627,511,28.26,4,6,96000
628,440,30.0,3,3,61000
629,173,40.27,3,4,144000
630,1,58.98,7,13,167500
631,2,25.33,5,6,145000
632,133,20.28,5,10,92000
633,47,25.09,5,5,120000
634,354,39.0,2,2,70000
635,3,25.36,3,10,125000
636,353,19.27,3,3,59000
637,206,60.44,2,3,188000
638,3,34.55,3,13,154000
639,383,22.0,1,3,56000
640,42,51.02,2,10,129500
641,41,20.35,6,7,98000
642,497,34.47,3,4,102000
643,87,22.26,4,14,91500
644,368,41.25,2,3,84000
645,1,38.88,7,7,152000
646,43,31.99,10,17,165000
647,198,48.93,7,10,222000
648,17,49.38,2,2,115000
649,126,28.49,1,4,144000
650,367,42.0,4,5,110000
651,91,36.95,1,2,78500
652,285,39.52,5,5,100000
653,358,61.55,5,10,175000
654,185,22.0,2,2,50000
655,274,20.88,1,3,79000
656,531,62.58,11,11,148000
657,213,18.24,3,11,79000
658,174,25.38,4,14,132000
659,25,20.3,2,10,71000
660,376,24.0,2,3,62000
661,25,42.54,1,2,137500
662,310,40.2,3,3,86000
663,523,32.58,3,4,108000
664,8,36.76,8,13,157000
665,352,74.25,4,5,124000
666,293,46.23,3,4,93000
667,49,111.65,53,53,505000
668,23,21.24,3,12,89000
669,365,22.27,2,4,63000
670,340,68.42,4,8,139000
671,324,38.01,3,3,108000
672,175,231.52,3,3,900000
673,103,35.2,2,8,117000
674,44,15.21,1,2,62000
675,219,23.1,2,3,65000
676,138,26.0,3,3,79500
677,48,20.92,1,2,61000
678,191,31.59,3,5,118000
679,77,17.05,2,3,66000
680,407,13.0,1,3,42000
681,377,39.66,1,3,72000
682,446,26.58,2,6,81000
683,36,21.28,2,2,56000
684,113,26.27,3,10,118500
685,29,24.39,1,4,134000
686,5,41.66,3,5,135000
687,3,22.33,6,9,112000
688,470,17.0,2,2,50000
689,73,25.67,3,14,113500
690,0,46.03,6,14,129000
691,26,10.02,1,2,53000
692,0,48.49,1,2,143000
693,0,41.72,2,3,117000
694,7,41.86,3,4,160000
695,396,12.3,2,2,47000
696,12,23.48,1,3,109000
697,6,25.67,12,18,110000
698,77,22.38,3,5,85000
699,150,23.25,9,12,133000
700,268,20.22,2,7,80000
701,125,27.8,1,5,113000
702,46,25.2,5,14,140000
703,379,20.63,3,3,75400
704,83,47.03,2,2,93500
705,77,25.05,3,8,80000
706,161,31.59,11,14,132000
707,1,40.45,2,4,195000
708,12,55.81,2,5,203000
709,99,25.68,3,4,104000
710,382,16.0,2,3,51000
711,67,31.36,6,17,109000
712,358,61.55,5,11,175000
713,4,40.49,8,12,143000
714,17,30.09,2,5,114000
715,168,22.0,1,2,69500
716,37,40.36,1,3,164000
717,47,25.76,3,7,105000
718,321,10.45,6,7,54000
719,5,25.24,3,4,105000
720,7,52.16,11,13,281000
721,30,25.41,4,10,123000
722,152,73.03,7,15,172000
723,375,58.0,1,3,97000
724,14,16.58,1,3,89000
725,165,40.42,8,25,175000
726,227,20.18,9,12,91000
727,192,31.64,2,4,120000
728,198,21.0,5,12,95000
729,149,25.94,1,5,100000
730,36,25.5,4,8,117500
731,120,103.08,3,3,230000
732,377,25.5,1,3,72000
733,138,44.67,16,24,221000
734,202,20.03,1,2,66000
735,436,25.92,3,3,81000
736,1,70.79,1,2,255000
737,138,30.07,11,12,118000
738,57,35.04,5,7,135000
739,371,22.1,1,2,55000
740,143,27.92,5,6,98000
741,391,71.61,2,7,140000
742,395,36.0,1,2,67000
743,401,80.9,2,5,145000
744,511,16.5,2,2,42000
745,538,45.36,2,2,124000
746,365,38.88,8,10,101000
747,226,32.18,1,6,100000
748,11,25.69,14,14,115000
749,81,25.53,9,13,116000
750,19,52.98,1,3,102000
751,186,42.15,6,12,164000
752,2,25.9,4,5,106500
753,271,44.6,1,2,112000
754,36,25.73,6,10,96000
755,696,10.0,2,2,28000
756,489,31.22,2,5,85000
757,382,15.3,3,4,58000
758,12,55.0,12,14,220000
759,5,24.04,2,3,118000
760,286,20.83,2,2,57000
761,73,25.71,9,11,127500
762,395,19.66,2,6,63000
763,380,29.92,3,5,88000
764,0,24.22,1,3,76000
765,1,40.52,7,12,200000
766,1,30.34,5,6,106000
767,401,20.25,3,3,71000
768,171,12.0,2,2,61000
769,79,45.0,2,3,87500
770,158,32.81,5,5,153000
771,227,30.51,5,9,127000
772,6,41.79,8,13,198500
773,55,14.86,1,2,60000
774,293,16.01,4,11,73000
775,364,75.67,30,42,283000
776,16,34.55,2,3,102500
777,239,23.61,3,3,87000
778,435,18.0,3,6,64000
779,421,30.7,2,2,85000
780,2,22.68,3,4,130000
781,151,29.75,4,14,122000
782,158,26.96,6,11,138000
783,367,19.3,3,5,65000
784,5,25.54,3,3,103000
785,43,32.38,1,4,95000
786,367,39.75,2,2,62000
787,428,66.6,6,14,270000
788,114,26.68,9,13,102000
789,520,29.0,3,3,58000
790,44,44.27,1,3,168000
791,394,27.0,2,2,61000
792,293,43.52,2,3,83000
793,372,50.5,6,10,150000
794,3,25.19,1,4,116000
795,268,44.01,3,8,95000
796,539,66.0,3,5,188000
797,103,43.58,3,3,103000
798,167,43.85,15,17,199000
799,59,25.5,9,12,107000
800,482,22.0,2,2,45000
801,1,65.42,2,2,157000
802,84,52.37,1,2,140000
803,1,25.96,3,4,90000
804,472,36.0,4,4,81000
805,263,36.71,5,13,133000
806,151,24.6,3,7,80000
807,3,30.2,3,7,118000
808,143,29.93,1,3,82000
809,67,70.92,8,17,260000
810,4,16.58,3,3,67000
811,53,28.8,13,21,159000
812,269,19.87,2,2,73000
813,189,35.49,6,9,147000
814,511,54.4,3,3,135000
815,360,71.36,2,2,145000
816,53,27.91,2,5,94000
817,329,21.0,2,4,75000
818,140,32.62,3,5,135000
819,25,29.72,3,13,140000
820,29,22.9,2,4,86000
821,152,20.06,9,10,99000
822,174,40.27,3,4,144000
823,185,24.55,1,3,67500
824,4,40.03,8,15,187000
825,154,56.1,2,2,103500
826,23,26.89,3,5,97000
827,159,26.46,1,3,94500
828,8,32.68,1,4,132000
829,0,33.59,1,6,154000
830,342,58.86,6,7,128000
831,248,21.37,4,7,85000
832,2,28.27,3,3,133000
833,367,21.43,2,2,62000
834,1,63.72,1,2,168000
835,152,80.11,13,28,287000
836,73,21.8,4,13,99000
837,77,39.19,1,2,95000
838,79,41.36,13,14,209000
839,388,17.65,1,2,71000
840,197,53.93,8,9,179000
841,430,33.89,4,10,123000
842,129,39.6,2,3,158000
843,53,24.59,3,4,82000
844,164,38.72,1,8,132000
845,448,24.12,7,11,70000
846,53,31.21,1,3,101000
847,27,55.11,13,14,286000
848,166,22.9,9,12,105000
849,184,19.87,2,2,55000
850,439,21.52,2,2,53000
851,314,18.62,3,4,68000
852,1,45.62,5,8,102500
853,77,25.2,1,3,73000
854,278,18.2,1,5,63000
855,192,67.88,4,7,315000
856,138,45.19,2,10,170000
857,6,31.49,1,3,160000
858,331,110.9,3,3,480000
859,377,59.4,4,5,140000
860,117,21.74,4,4,117000
861,3,43.1,2,12,205000
862,1,58.38,2,3,270000
863,0,40.95,4,11,154000
864,233,17.0,2,4,73000
865,179,36.47,4,4,102000
866,1,26.1,8,12,99000
867,165,21.7,9,11,91000
868,1,25.54,3,9,82000
869,34,25.73,1,7,85500
870,77,33.59,1,2,119000
871,257,36.45,9,14,135000
872,149,29.45,12,13,118000
873,0,38.56,3,4,134000
874,131,22.0,2,3,87000
875,417,49.75,5,12,150000
876,380,46.74,2,3,118000
877,173,32.5,2,3,75000
878,116,16.98,2,2,69000
879,0,67.71,4,4,345000
880,0,20.74,2,12,94000
881,269,55.19,2,3,110000
882,4,33.75,2,13,166000
883,0,29.4,4,4,104000
884,152,43.57,4,5,163000
885,164,30.93,6,11,148000
886,331,47.0,3,3,117000
887,3,46.25,5,12,216000
888,386,16.2,2,12,63000
889,224,17.25,1,3,71000
890,546,39.08,3,6,82000
891,305,20.88,4,5,71000
892,119,30.79,4,14,99800
893,29,25.55,3,5,98000
894,2,26.76,3,10,139000
895,182,85.43,9,14,350000
896,65,25.0,1,3,95000
897,0,45.15,4,4,134000
898,161,18.5,2,3,79000
899,524,17.34,2,3,55000
900,579,35.0,4,4,115000
901,564,21.53,1,2,59000
902,29,14.98,3,4,86000
903,345,22.32,2,3,67000
904,364,31.65,5,7,93500
905,223,33.63,2,2,103000
906,251,24.06,1,2,70000
907,3,25.36,10,10,135000
908,138,20.83,1,2,72000
909,250,23.25,8,10,82000
910,396,39.67,2,2,63000
911,258,24.14,4,5,80000
912,175,24.0,2,2,75500
913,368,39.67,1,2,73000
914,132,27.93,2,5,93000
915,195,25.48,4,11,119860
916,404,15.25,4,7,65000
917,169,38.23,12,13,199000
918,79,20.0,3,12,94000
919,209,21.78,10,14,85000
920,172,23.12,3,8,94000
921,293,65.23,3,3,166000
922,329,23.1,3,3,63000
923,179,37.65,5,14,172000
924,269,30.68,4,8,96000
925,59,25.65,1,5,86000
926,281,19.38,4,4,66000
927,424,38.4,4,4,104000
928,197,59.12,6,43,270000
929,1,69.36,2,3,234000
930,94,25.87,3,10,83500
931,204,24.12,7,10,90000
